,구,주소,어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월
187,용산구,(04336) 서울특별시 용산구 두텁바위로31길 28 ,오케이최고어린이집,C,우수,보통,우수,개선필요,2021.08
188,용산구,(04304) 서울특별시 용산구 청파로71길 58 아이딜아파트 101호 (청파동1가),완두콩어린이집,A,우수,우수,우수,우수,2022.03
189,용산구,(04363) 서울특별시 용산구 효창원로 88 브라운스톤용산 104-103,용문어린이집,A,우수,우수,우수,우수,2022.12
190,용산구,(04316) 서울특별시 용산구 원효로1가 백범로77길 36 ,용산교회어린이집,A,우수,우수,우수,우수,2022.07
191,용산구,(04390) 서울특별시 용산구 녹사평대로 150 종합행정타운 1층 (이태원동),용산구청직장어린이집,B,우수,우수,우수,우수,2021.02
192,용산구,(04375) 서울특별시 용산구 한강대로 167 용산소방서,용산소방서직장어린이집,A,우수,우수,우수,우수,2021.02
193,용산구,(04386) 서울특별시 용산구 한강로2가 한강대로38길 28 용산어린이집,용산어린이집,A,우수,우수,우수,우수,2022.1
194,용산구,"(04317) 서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)",용산캐슬어린이집,A,우수,우수,우수,우수,2021.02
195,용산구,(04314) 서울특별시 용산구 원효로97길 15 1층,원효루미니어린이집,A,우수,우수,우수,우수,2023.09
196,용산구,(04363) 서울특별시 용산구 원효로41가길 14-19 ,원효어린이집,A,우수,우수,우수,우수,2022.06
197,용산구,(04374) 서울특별시 용산구 이촌로14길 11-22 ,이촌어린이집,B,우수,우수,보통,우수,2022.1
198,용산구,(04349) 서울특별시 용산구 이태원로27길 34-30 ,이태원삼성어린이집,A,우수,우수,우수,우수,2020.01
199,용산구,(04351) 서울특별시 용산구 녹사평대로40나길 38-3 ,이태원어린이집,A,우수,우수,우수,우수,2022.1
200,용산구,"(04423) 서울특별시 용산구 이촌로87길 13 104동 104호(이촌동, 강촌아파트)",자연어린이집,A,우수,우수,우수,우수,2023.08
201,용산구,(04324) 서울특별시 용산구 후암로57길 57 (동자동),절제어린이집,B,우수,우수,우수,보통,2023.12
